"id";"title";"author";"year";"isbn"
"1";"Krondor: The Betrayal";"Raymond E. Feist";"1998";"0380795272"
"2";"The Dark Is Rising";"Susan Cooper";"1973";"1416949658"
"3";"The Black Unicorn ";"Terry Brooks";"1987";"1857231082"
"4";"I, Robot";"Isaac Asimov";"1950";"0553803700"
"5";"Four Blondes";"Candace Bushnell";"2000";"080213825X"
"6";"Love, Stargirl";"Jerry Spinelli";"2007";"0375913750"
"7";"The Tenth Circle";"Jodi Picoult";"2006";"074349671X"
"8";"Vanishing Acts";"Jodi Picoult";"2005";"0743454553"
"9";"Aztec";"Gary Jennings";"1980";"0765317508"
"10";"Marlfox";"Brian Jacques";"1998";"0142501085"
"11";"Lady Midnight";"Cassandra Clare";"2016";"1442468351"
"12";"The Secret Keeper";"Kate Morton";"2012";"1439152802"
"13";"The Afghan";"Frederick Forsyth";"2006";"0399153942"
"14";"A Touch of Dead";"Charlaine Harris";"2009";"0441017835"
"15";"Daja's Book";"Tamora Pierce";"1998";"0590554107"
"16";"Steve Jobs";"Walter Isaacson";"2011";"1451648537"
"17";"Cold Fire";"Tamora Pierce";"2002";"0590396560"
"18";"Thanks for the Memories";"Cecelia Ahern";"2008";"000723368X"
"19";"Bitterblue";"Kristin Cashore";"2012";"0803734735"
"20";"Daisy Miller";"Henry James";"1878";"1592243002"
"21";"The Brothers K";"David James Duncan";"1992";"055337849X"
"22";"The Pact";"Jodi Picoult";"1998";"0061150142"
"23";"Plum Spooky";"Janet Evanovich";"2009";"0739328271"
"24";"Twice Tempted ";"Jeaniene Frost";"2013";"0062076108"
"25";"Legend";"Marie Lu";"2011";"039925675X"
"26";"Thr3e";"Ted Dekker";"2003";"1595543414"
"27";"The Lion's Game";"Nelson DeMille";"2000";"0446679097"
"28";"The Rainmaker";"John Grisham";"1995";"0385339607"
"29";"Eleanor & Park";"Rainbow Rowell";"2013";"1250012570"
"30";"The Lightning Thief";"Rick Riordan";"2005";"0786838655"
"31";"The Final Detail";"Harlan Coben";"1999";"0440225450"
"32";"A Cry in the Night";"Mary Higgins Clark";"1982";"0743484355"
"33";"Half Bad";"Sally Green";"2014";"0670016780"
"34";"Lady Windermere's Fan";"Oscar Wilde";"1893";"0140621733"
"35";"The Awakening";"Kelley Armstrong";"2009";"0061662763"
"36";"Ham on Rye";"Charles Bukowski";"1982";"006117758X"
"37";"The Van Alen Legacy ";"Melissa de la Cruz";"2009";"1423102266"
"38";"A Pocket for Corduroy";"Don Freeman";"1978";"067056172X"
"39";"The Street Lawyer";"John Grisham";"1998";"0385339097"
"40";"Revolutionary Road";"Richard Yates";"1961";"0413757102"
"41";"Neuromancer";"William Gibson";"1984";"0441569595"
"42";"Catch-22";"Joseph Heller";"1961";"0684833395"
"43";"sTORI Telling";"Tori Spelling";"2008";"1416950737"
"44";"The Snowy Day";"Ezra Jack Keats";"1962";"0140501827"
"45";"Invisible Monsters";"Chuck Palahniuk";"1999";"0099285444"
"46";"Noughts & Crosses";"Malorie Blackman";"2001";"0552555703"
"47";"Separation of Power";"Vince Flynn";"2001";"0671047345"
"48";"The Weight of Blood";"Laura McHugh";"2014";"0812995201"
"49";"Lincoln in the Bardo";"George Saunders";"2017";"0812995341"
"50";"Kiss of Midnight";"Lara Adrian";"2007";"0553589377"
"51";"Did You Ever Have a Family";"Bill Clegg";"2015";"1476798176"
"52";"The Tiger Who Came to Tea";"Judith Kerr";"1968";"0006640613"
"53";"Tuesday";"David Wiesner";"1991";"0395870828"
"54";"My Man Jeeves";"P.G. Wodehouse";"1919";"1585678759"
"55";"Hit List";"Laurell K. Hamilton";"2011";"0425241130"
"56";"Cabal";"Clive Barker";"1988";"0743417321"
"57";"The Sea Wolf";"Jack London";"1904";"1598184318"
"58";"One Good Dog";"Susan  Wilson";"2010";"0312571259"
"59";"A Knight of the Word ";"Terry Brooks";"1998";"0345424646"
"60";"The Lonely Polygamist";"Brady Udall";"2010";"0393062627"
"61";"Born at Midnight";"C.C. Hunter";"2011";"0312624670"
"62";"Lover Reborn";"J.R. Ward";"2012";"0451235843"
"63";"The Plot Against America";"Philip Roth";"2004";"1400079497"
"64";"I Am Legend ";"Richard Matheson";"1954";"1857988094"
"65";"Hex Hall";"Rachel Hawkins";"2010";"1423121309"
"66";"It";"Stephen King";"1986";"0451169514"
"67";"The Player of Games";"Iain M. Banks";"1988";"0061053562"
"68";"The Waves";"Virginia Woolf";"1931";"0156949601"
"69";"The Angel Experiment";"James Patterson";"2005";"0446617792"
"70";"Teen Idol";"Meg Cabot";"2004";"0060096187"
"71";"Armageddon's Children";"Terry Brooks";"2006";"0345484088"
"72";"Legend ";"David Gemmell";"1984";"0345379063"
"73";"The Thief";"Megan Whalen Turner";"1996";"0060824972"
"74";"Welcome to Temptation";"Jennifer Crusie";"1996";"0312932804"
"75";"The Gods Themselves";"Isaac Asimov";"1972";"1857989341"
"76";"Bullet";"Laurell K. Hamilton";"2010";"0425234339"
"77";"A Dog's Purpose ";"W. Bruce Cameron";"2010";"0765326264"
"78";"The Devil You Know";"Mike Carey";"2006";"0446580309"
"79";"number9dream";"David Mitchell";"2001";"0812966929"
"80";"A Week to Be Wicked";"Tessa Dare";"2012";"0062049879"
"81";"A Place Called Here";"Cecelia Ahern";"2006";"0007198914"
"82";"Master and Commander";"Patrick O'Brian";"1969";"0393307050"
"83";"The Six Wives of Henry VIII";"Alison Weir";"1980";"0802136834"
"84";"Industrial Magic";"Kelley Armstrong";"2004";"0553590162"
"85";"The Will of the Empress";"Tamora Pierce";"2005";"0439441722"
"86";"Violets Are Blue";"James Patterson";"2001";"0446611212"
"87";"Men at Arms";"Terry Pratchett";"1993";"0061092193"
"88";"The Power of One";"Bryce Courtenay";"1989";"034541005X"
"89";"A Discovery of Witches";"Deborah Harkness";"2011";"0670022411"
"90";"Free Will";"Sam Harris";"2012";"1451683405"
"91";"Faithless";"Karin Slaughter";"2005";"0440242916"
"92";"Three Wishes";"Liane Moriarty";"2003";"0060586133"
"93";"Fatherland";"Robert   Harris";"1992";"0061006629"
"94";"Never Love a Highlander";"Maya Banks";"2011";"0345519515"
"95";"Altered";"Jennifer Rush";"2013";"0316197084"
"96";"Fractured";"Karin Slaughter";"2008";"0385341954"
"97";"The Charlemagne Pursuit";"Steve Berry";"2008";"0345485793"
"98";"I'll Be Seeing You";"Mary Higgins Clark";"1993";"0671888587"
"99";"Wench";"Dolen Perkins-Valdez";"2009";"006170654X"
"100";"Red Mars";"Kim Stanley Robinson";"1993";"0553560735"
"101";"The 100";"Kass Morgan";"2013";"0316234478"
"102";"The Mark of Athena";"Rick Riordan";"2012";"1423140605"
"103";"Her Fearful Symmetry";"Audrey Niffenegger";"2009";"0224085611"
"104";"Vicious";"V.E. Schwab, Victoria Schwab";"2013";"0765335344"
"105";"Bad Girls Don't Die";"Katie Alender";"2009";"1423108760"
"106";"Pebble in the Sky";"Isaac Asimov";"1950";"0553293427"
"107";"Safe Harbour";"Danielle Steel";"2003";"0739437585"
"108";"Lincoln";"David Herbert Donald";"1995";"068482535X"
"109";"The Titan's Curse";"Rick Riordan";"2007";"0141382899"
"110";"Tropic of Capricorn";"Henry Miller";"1938";"0802151825"
"111";"The Bluest Eye";"Toni Morrison";"1970";"0452287065"
"112";"Wife 22";"Melanie Gideon";"2008";"034552795X"
"113";"Frog and Toad Together";"Arnold Lobel";"1971";"069401298X"
"114";"The Lacuna";"Barbara Kingsolver";"2009";"0060852577"
"115";"Slapstick";"Kurt Vonnegut Jr.";"1976";"0385334230"
"116";"Fearless Fourteen";"Janet Evanovich";"2008";"0312349513"
"117";"A Christmas Carol";"Charles Dickens";"1843";"1561797464"
"118";"Straight Talking";"Jane Green";"1997";"0767915593"
"119";"Never Let Me Go";"Kazuo Ishiguro";"2005";"1400078776"
"120";"Ice Station Zebra";"Alistair MacLean";"1963";"0006161413"
"121";"The Edible Woman";"Margaret Atwood";"1969";"0385491069"
"122";"The English Assassin";"Daniel Silva";"2002";"0451208188"
"123";"Born of the Night";"Sherrilyn Kenyon";"1996";"0312942303"
"124";"Two Ravens and One Crow";"Kevin Hearne";"2012";"0385366434"
"125";"Nicholas and Alexandra";"Robert K. Massie";"1967";"0345438310"
"126";"A Grief Observed";"C.S. Lewis";"1961";"0060652381"
"127";"Right Ho, Jeeves";"P.G. Wodehouse";"1934";"140690483X"
"128";"Mr. Perfect";"Linda Howard";"2000";"0743482883"
"129";"Moonrise";"Erin Hunter";"2005";"0060744545"
"130";"Moon Over Manifest";"Clare Vanderpool";"2010";"0385907508"
"131";"MaddAddam";"Margaret Atwood";"2013";"0385528787"
"132";"The Good Guy";"Dean Koontz";"1989";"0553804812"
"133";"Shoe Addicts Anonymous ";"Beth Harbison";"2007";"0312364687"
"134";"The Gift";"Julie Garwood";"1991";"0671702505"
"135";"Winter's Bone";"Daniel Woodrell";"2006";"031605755X"
"136";"A Death in the Family";"James Agee";"1957";"0375701230"
"137";"The Firm";"John Grisham";"1991";"0582418275"
"138";"Antigone";"Jean Anouilh";"1944";"041330860X"
"139";"Spook Country";"William Gibson";"2007";"0399154302"
"140";"Esio Trot";"Roald Dahl, Quentin Blake";"1990";"0224064924"
"141";"The Lady Elizabeth";"Alison Weir";"2008";"0345495357"
"142";"One Crazy Summer";"Rita Williams-Garcia";"2010";"0060760885"
"143";"Teardrop";"Lauren Kate";"2013";"0375990690"
"144";"Fahrenheit 451";"Ray Bradbury";"1953";"0307347974"
"145";"Independent Study";"Joelle Charbonneau";"2014";"0547959206"
"146";"Tell Me Three Things";"Julie Buxbaum";"2016";"0553535641"
"147";"The Brutal Telling";"Louise Penny";"2009";"0312377037"
"148";"Wyrd Sisters";"Terry Pratchett";"1988";"0061020664"
"149";"Little Earthquakes";"Jennifer Weiner";"2004";"1416528636"
"150";"The City of Ember";"Jeanne DuPrau";"2003";"0375822747"
"151";"A Gate at the Stairs";"Lorrie Moore";"2009";"0375409289"
"152";"The Ugly Truth";"Jeff Kinney";"2010";"0810984911"
"153";"Beauty from Pain";"Georgia Cates";"2013";"148234873X"
"154";"Code to Zero";"Ken Follett";"2000";"0451216725"
"155";"The Twentieth Wife";"Indu Sundaresan";"2002";"0743428188"
"156";"The Big Nowhere";"James Ellroy";"1988";"0099366614"
"157";"Beautiful You";"Chuck Palahniuk";"2014";"0385538030"
"158";"Dreams of Gods & Monsters";"Laini Taylor";"2014";"0316134074"
"159";"Dragonfly in Amber";"Diana Gabaldon";"1992";"0385335970"
"160";"Freak the Mighty";"Rodman Philbrick";"1993";"0439286069"
"161";"Blue Mars ";"Kim Stanley Robinson";"1996";"0553573357"
"162";"The Virgin Suicides";"Jeffrey Eugenides";"1993";"0747560595"
"163";"Pandora's Star";"Peter F. Hamilton";"2004";"0345461622"
"164";"Cloudstreet";"Tim Winton";"1991";"0743234413"
"165";"The Lunatic Cafe";"Laurell K. Hamilton";"1996";"0425201376"
"166";"Under the Tuscan Sun";"Frances Mayes";"1996";"0767900383"
"167";"Memoirs of a Geisha";"Arthur Golden";"1997";"0739326228"
"168";"My Friend Leonard";"James Frey";"2005";"1594481954"
"169";"Calico Joe";"John Grisham";"2012";"0385536073"
"170";"Girl of Nightmares";"Kendare Blake";"2012";"0765328666"
"171";"Bad Monkey";"Carl Hiaasen";"2013";"0307272591"
"172";"High-Rise";"J.G. Ballard";"1975";"0871404028"
"173";"The Miniaturist";"Jessie Burton";"2014";"0062306812"
"174";"The Last Olympian";"Rick Riordan";"2009";"0739380338"
"175";"Trinity: A Novel of Ireland";"Leon Uris";"1976";"0060827882"
"176";"Ford County";"John Grisham";"2008";"0385532458"
"177";"Flowers for Algernon";"Daniel Keyes";"1966";"0156030306"
